[CAT=list]	Statystyki kobiet w Pucharze Świata w biathlonie 2012/2013	Statystyki mężczyzn w Pucharze Świata w biathlonie 2012/2013	None
[CAT=social]	MTV Video Music Award – teledysk żeński	MTV Video Music Award – teledysk męski	None
[CAT=social]	Nagroda IIFA za Najlepszy Playback Kobiecy	Nagroda IIFA za Najlepszy Playback Męski	None
[CAT=social]	Nagroda za drugoplanową rolę kobiecą na Festiwalu Polskich Filmów Fabularnych	Nagroda za drugoplanową rolę męską na Festiwalu Polskich Filmów Fabularnych	None
[CAT=social]	Nagroda za pierwszoplanową rolę kobiecą na Festiwalu Filmowym w Cannes	Nagroda za pierwszoplanową rolę męską na Festiwalu Filmowym w Cannes	None
[CAT=social]	Nagroda za pierwszoplanową rolę kobiecą na Festiwalu Polskich Filmów Fabularnych	Nagroda za pierwszoplanową rolę męską na Festiwalu Polskich Filmów Fabularnych	None
[CAT=social]	Orzeł za najlepszą drugoplanową rolę kobiecą	Orzeł za najlepszą drugoplanową rolę męską	None
[CAT=social]	Orzeł za najlepszą główną rolę kobiecą	Orzeł za najlepszą główną rolę męską	None
[CAT=social]	Przemoc wobec kobiet	Przemoc wobec mężczyzn	None
[CAT=social]	Skróty zakonne (zakony żeńskie)	Skróty zakonne (zakony męskie)	None
[CAT=social]	Żakiet (strój damski)	Żakiet (strój męski)	None
[CAT=sport]	AEGON International 2009 (kobiety)	AEGON International 2009 (mężczyźni)	None
[CAT=sport]	AEGON International 2010 (kobiety)	AEGON International 2010 (mężczyźni)	None
[CAT=sport]	AEGON International 2011 (kobiety)	AEGON International 2011 (mężczyźni)	None
[CAT=sport]	AEGON International 2012 (kobiety)	AEGON International 2012 (mężczyźni)	None
[CAT=sport]	AEGON International 2013 (kobiety)	AEGON International 2013 (mężczyźni)	None
[CAT=sport]	AEGON International 2014 (kobiety)	AEGON International 2014 (mężczyźni)	None
[CAT=sport]	AIG Japan Open Tennis Championships 2007 (kobiety)	AIG Japan Open Tennis Championships 2007 (mężczyźni)	None
[CAT=sport]	AIG Japan Open Tennis Championships 2008 (kobiety)	AIG Japan Open Tennis Championships 2008 (mężczyźni)	None
[CAT=sport]	ASB Classic 2016 (kobiety)	ASB Classic 2016 (mężczyźni)	None
[CAT=sport]	ASB Classic 2017 (kobiety)	ASB Classic 2017 (mężczyźni)	None
[CAT=sport]	ASB Classic 2018 (kobiety)	ASB Classic 2018 (mężczyźni)	None
[CAT=sport]	ASB Classic 2019 (kobiety)	ASB Classic 2019 (mężczyźni)	None
[CAT=sport]	AZS AGH Kraków (piłka siatkowa kobiet)	AZS AGH Kraków (piłka siatkowa mężczyzn)	None
[CAT=sport]	AZS Lublin (koszykówka kobiet)	AZS Lublin (koszykówka mężczyzn)	None
[CAT=sport]	AZS Politechnika Śląska Gliwice (piłka siatkowa kobiet)	AZS Politechnika Śląska Gliwice (piłka siatkowa mężczyzn)	None
[CAT=sport]	AZS-AWF Warszawa (piłka siatkowa kobiet)	AZS-AWF Warszawa (piłka siatkowa mężczyzn)	None
[CAT=sport]	Abierto Mexicano TELCEL 2007 (kobiety)	Abierto Mexicano TELCEL 2007 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano TELCEL 2008 (kobiety)	Abierto Mexicano TELCEL 2008 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano TELCEL 2009 (kobiety)	Abierto Mexicano TELCEL 2009 (mężczyźni)	None
[CAT=sport]	Abierto Mexicano TELCEL 2010 (kobiety)	Abierto Mexicano TELCEL 2010 (mężczyźni)	None
