[CAT=art]	İslam'da kadın	None	İslam#<>#İSLAM
[CAT=list]	Kadın Formula 1 pilotları listesi	None	Formula 1 pilotları listesi
[CAT=list]	Kadın astronomlar listesi	None	Astronomlar listesi
[CAT=list]	Kadın film yönetmenleri listesi	None	Film yönetmenleri listesi
[CAT=name]	Dünya Kadınlar Günü	None	Dünya günü#<>#Dünya Günü
[CAT=social]	Antik Yunanistan'da kadın	None	Antik yunanistan#<>#Antik Yunanistan
[CAT=social]	Azerbaycan'da kadın	None	Azerbaycan
[CAT=social]	Bilişimde kadınlar	None	Bilişim
[CAT=social]	Ev kadını	None	Ev
[CAT=social]	Kadın Matematikçiler	None	Matematikçiler
[CAT=social]	Kadın Papa	None	Papa
[CAT=social]	Kadın üreme organları	None	Üreme organları
[CAT=social]	Kadınlar ve askerlik	None	Askerlik
[CAT=social]	Kadınlara oy hakkı	None	Oy hakkı
[CAT=social]	Kadınlarda boşalma	None	Boşalma
[CAT=social]	Kızılderili kadını	None	Kızılderili
[CAT=social]	Yahudilik'te kadın	None	Yahudilik
[CAT=social]	Özbekistan'da kadın	None	Özbekistan
[CAT=sport]	2001-02 UEFA Kadınlar Kupası	None	UEFA Kupası 2001-02#<>#2001-02 UEFA Kupası
[CAT=sport]	2002 UEFA Kadınlar Kupası Finali	None	2002 UEFA Kupası Finali
[CAT=sport]	2002-03 UEFA Kadınlar Kupası	None	UEFA Kupası 2002-03#<>#2002-03 UEFA Kupası
[CAT=sport]	2003 UEFA Kadınlar Kupası Finali	None	2003 UEFA Kupası Finali
[CAT=sport]	2003-04 UEFA Kadınlar Kupası	None	2003-04 UEFA Kupası#<>#UEFA Kupası 2003-04
[CAT=sport]	2004 UEFA Kadınlar Kupası Finali	None	2004 UEFA Kupası Finali
[CAT=sport]	2004-05 UEFA Kadınlar Kupası	None	UEFA Kupası 2004-05#<>#2004-05 UEFA Kupası
[CAT=sport]	2005 Avrupa Kadınlar Basketbol Şampiyonası	None	2005 Avrupa Basketbol Şampiyonası
[CAT=sport]	2005 UEFA Kadınlar Kupası Finali	None	2005 UEFA Kupası Finali
[CAT=sport]	2005-06 UEFA Kadınlar Kupası	None	UEFA Kupası 2005/06#<>#2005-06 UEFA Kupası#<>#UEFA Kupası 2005-06
[CAT=sport]	2006 UEFA Kadınlar Kupası Finali	None	2006 UEFA Kupası Finali
[CAT=sport]	2006-07 UEFA Kadınlar Kupası	None	2006-07 UEFA Kupası#<>#UEFA Kupası 2006-07
[CAT=sport]	2007 Avrupa Kadınlar Basketbol Şampiyonası	None	2007 Avrupa Basketbol Şampiyonası
[CAT=sport]	2007 UEFA Kadınlar Kupası Finali	None	2007 UEFA Kupası Finali
[CAT=sport]	2007-08 UEFA Kadınlar Kupası	None	UEFA Kupası 2007/08#<>#2007-08 UEFA Kupası#<>#UEFA Kupası 2007-08
[CAT=sport]	2008 UEFA Kadınlar Kupası Finali	None	2008 UEFA Kupası Finali
[CAT=sport]	2008-09 UEFA Kadınlar Kupası	None	2008-09 UEFA Kupası#<>#UEFA Kupası 2008-09
[CAT=sport]	2009 Avrupa Kadınlar Basketbol Şampiyonası	None	2009 Avrupa Basketbol Şampiyonası
[CAT=sport]	2009 UEFA Kadınlar Kupası Finali	None	2009 UEFA Kupası Finali
[CAT=sport]	2009-10 UEFA Kadınlar Şampiyonlar Ligi	None	Uefa şampiyonlar ligi 2009-10#<>#2009-10 UEFA Şampiyonlar Ligi#<>#Uefa Şampiyonlar Ligi 2009-10#<>#UEFA Şampiyonlar Ligi 2009-10
[CAT=sport]	2010 UEFA Kadınlar Şampiyonlar Ligi Finali	None	2010 UEFA Şampiyonlar Ligi Finali
[CAT=sport]	2010-11 Türkiye Kadınlar Basketbol Ligi	None	2010-11 Türkiye Basketbol Ligi
[CAT=sport]	2011-12 Türkiye Kadınlar Basketbol Ligi	None	2011-12 Türkiye Basketbol Ligi
[CAT=sport]	2012 Yaz Olimpiyatları'nda voleybol - Kadınlar	None	2012 Yaz Olimpiyatları'nda voleybol
[CAT=sport]	2012-13 Türkiye Kadınlar Basketbol Ligi	None	2012-13 Türkiye Basketbol Ligi
[CAT=sport]	2013 Avrupa Kadınlar Basketbol Şampiyonası	None	2013 Avrupa Basketbol Şampiyonası
[CAT=sport]	2013-14 Türkiye Kadınlar Basketbol Ligi	None	2013-14 Türkiye Basketbol Ligi
[CAT=sport]	2014 FIBA Kadınlar Basketbol Dünya Kupası	None	2014 FIBA Basketbol Dünya Kupası
[CAT=sport]	2014-15 Türkiye Kadınlar Basketbol Ligi	None	2014-15 Türkiye Basketbol Ligi
[CAT=sport]	2015-16 Kadınlar Basketbol Süper Ligi	None	2015-16 Basketbol Süper Ligi
[CAT=sport]	2016-17 Kadınlar Basketbol Süper Ligi	None	2016-17 Basketbol Süper Ligi
[CAT=sport]	2017 Avrupa Kadınlar Basketbol Şampiyonası	None	2017 Avrupa Basketbol Şampiyonası
[CAT=sport]	2017 Avrupa Kadınlar Basketbol Şampiyonası Finali	None	2017 Avrupa Basketbol Şampiyonası Finali
[CAT=sport]	2017-18 Kadınlar Basketbol Süper Ligi	None	2017-18 Basketbol Süper Ligi
[CAT=sport]	2018 Macaristan Kadınlar Açık	None	2018 Macaristan Açık
[CAT=sport]	2018 Macaristan Kadınlar Açık - Tekler	None	2018 Macaristan Açık - Tekler
[CAT=sport]	2018 Macaristan Kadınlar Açık - Çiftler	None	2018 Macaristan Açık - Çiftler
[CAT=sport]	2018-19 Kadınlar Basketbol Süper Ligi	None	2018-19 Basketbol Süper Ligi
[CAT=sport]	2019-20 Kadınlar Basketbol Süper Ligi	None	2019-20 Basketbol Süper Ligi
[CAT=sport]	2020-21 Kadınlar Basketbol Süper Ligi	None	2020-21 Basketbol Süper Ligi
[CAT=sport]	2021-22 Kadınlar Basketbol Süper Ligi	None	2021-22 Basketbol Süper Ligi
[CAT=sport]	AFC Kadınlar Asya Kupası	None	AFC Asya Kupası
[CAT=sport]	Alman kadınlar futbolunda lig sistemi	None	Alman futbolunda lig sistemi
[CAT=sport]	Almanya kadın millî basketbol takımı	None	Almanya millî basketbol takımı#<>#Almanya Millî Basketbol Takımı
